<WELLCONSTRUCTION>,,,,
Bore,Depth_top_C,Depth_bot_C,Diam_in,Cons_Type
TV Indiana Ave,138,170,12,Steel
TV Indiana Ave,170,190,12,Screen-SS
TV Indiana Ave,190,220,12,Steel
TV Indiana Ave,220,240,12,Screen-SS
TV Indiana Ave,240,245,12,Steel
TV ITD Middleton,0,256,8,Steel
TV ITD Middleton,248,283,6,Steel
TV ITD Middleton,259,271,6,Perforations-steel
TV Kilzer,0,225,6,Steel
TV Lenzi,1.5,68,8,Steel
TV Linder Rd,0,141,16,Steel
TV Linder Rd,64,116,16,Perforations-steel
TV Linder Rd,116,120,16,Steel
TV Linder Rd,116,141,10,Perforations-steel
TV Linder Rd,118,205,10,Steel
TV Lloyd Noe no. 2,-1,21,20,Steel
